code_module,code_presentation,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,target,total_clicks,active_days,unique_vle_sites,active_weeks
AAA,2013J,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,1,545.0,19.0,34.0,3.0
AAA,2013J,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,1,723.0,29.0,38.0,5.0
AAA,2013J,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,1,879.0,43.0,42.0,7.0
AAA,2013J,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,1,608.0,29.0,35.0,5.0
AAA,2013J,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,1,1016.0,54.0,42.0,8.0
AAA,2013J,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,1,720.0,30.0,31.0,5.0
AAA,2013J,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,1,592.0,33.0,30.0,5.0
AAA,2013J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,1,657.0,42.0,33.0,6.0
AAA,2013J,M,North Region,Post Graduate Qualification,?,55<=,0,60,N,1,903.0,40.0,39.0,6.0
AAA,2013J,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,1,736.0,40.0,34.0,6.0
AAA,2013J,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,1,761.0,38.0,36.0,6.0
AAA,2013J,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,1,714.0,31.0,31.0,5.0
AAA,2013J,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,1,1172.0,45.0,50.0,7.0
AAA,2013J,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,1,1106.0,56.0,38.0,8.0
AAA,2013J,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,1,534.0,22.0,43.0,4.0
AAA,2013J,M,Ireland,HE Qualification,?,35-55,0,60,N,1,1485.0,54.0,42.0,8.0
AAA,2013J,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,N,0,76.0,7.0,17.0,1.0
AAA,2013J,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,1,1397.0,46.0,57.0,7.0
AAA,2013J,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,1,396.0,40.0,26.0,6.0
AAA,2013J,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,1,697.0,39.0,31.0,6.0
AAA,2013J,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,1,1560.0,41.0,52.0,6.0
AAA,2013J,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,1,342.0,23.0,29.0,4.0
AAA,2013J,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,1,1928.0,44.0,51.0,7.0
AAA,2013J,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,1,868.0,62.0,37.0,9.0
AAA,2013J,M,London Region,HE Qualification,60-70%,0-35,0,60,N,1,487.0,17.0,31.0,3.0
AAA,2013J,M,Ireland,Post Graduate Qualification,?,35-55,0,60,N,1,1598.0,48.0,56.0,7.0
AAA,2013J,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,1,390.0,17.0,31.0,3.0
AAA,2013J,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,1,439.0,30.0,42.0,5.0
