code_module,code_presentation,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,target,total_clicks,active_days,unique_vle_sites,mean_clicks,max_clicks,min_clicks,std_clicks,median_clicks,total_interactions,activity_span,clicks_per_active_day,clicks_per_site,interactions_per_day,sites_per_day,clicks_per_span_day,recent14_clicks,recent14_days,recent14_sites,recent14_interactions,recent7_clicks,recent7_days,recent7_sites,recent7_interactions,recent14_click_ratio,recent7_click_ratio,recent14_activity_ratio,recent7_activity_ratio,click_variability,engagement_consistency
AAA,2013J,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,1,934.0,40.0,55.0,4.76530612244898,76.0,1.0,7.591224380698818,2.0,196.0,259.0,23.35,16.98181818181818,4.9,1.375,3.606177606177606,93.0,4.0,26.0,36.0,1.0,1.0,1.0,1.0,0.09957173447537473,0.0010706638115631692,0.1,0.025,1.5930192490545698,0.38565082012584595
AAA,2013J,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,1,1435.0,80.0,84.0,3.3372093023255816,23.0,1.0,3.634240381367696,2.0,430.0,250.0,17.9375,17.083333333333332,5.375,1.05,5.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0890058285631423,0.4786966059773126
AAA,2013J,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,1,2155.0,120.0,82.0,3.265151515151515,22.0,1.0,3.198206649619429,2.0,660.0,260.0,17.958333333333332,26.28048780487805,5.5,0.6833333333333333,8.288461538461538,118.0,7.0,10.0,33.0,13.0,1.0,2.0,3.0,0.054756380510440836,0.0060324825986078886,0.058333333333333334,0.008333333333333333,0.9794971641525861,0.505178798994691
AAA,2013J,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,1,1034.0,70.0,66.0,2.9375,22.0,1.0,3.2618947354194723,2.0,352.0,258.0,14.771428571428572,15.666666666666666,5.0285714285714285,0.9428571428571428,4.007751937984496,10.0,2.0,4.0,7.0,7.0,1.0,3.0,5.0,0.009671179883945842,0.006769825918762089,0.02857142857142857,0.014285714285714285,1.110432250355565,0.4738365800804647
AAA,2013J,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,1,2438.0,137.0,88.0,3.400278940027894,22.0,1.0,3.1379190931145677,2.0,717.0,263.0,17.795620437956206,27.704545454545453,5.233576642335766,0.6423357664233577,9.269961977186313,77.0,8.0,7.0,32.0,22.0,3.0,4.0,10.0,0.03158326497128794,0.009023789991796555,0.058394160583941604,0.021897810218978103,0.9228416693039971,0.5200636204030079
AAA,2013J,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,1,1491.0,89.0,59.0,4.211864406779661,48.0,1.0,5.8704402278546794,2.0,354.0,264.0,16.752808988764045,25.271186440677965,3.9775280898876404,0.6629213483146067,5.6477272727272725,126.0,5.0,8.0,16.0,3.0,1.0,1.0,1.0,0.08450704225352113,0.002012072434607646,0.056179775280898875,0.011235955056179775,1.393786613454431,0.4177481795492698
AAA,2013J,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,1,1416.0,103.0,66.0,2.692015209125475,46.0,1.0,3.1910907118408285,2.0,526.0,260.0,13.74757281553398,21.454545454545453,5.106796116504855,0.6407766990291263,5.446153846153846,17.0,4.0,5.0,11.0,9.0,2.0,3.0,5.0,0.012005649717514125,0.006355932203389831,0.038834951456310676,0.019417475728155338,1.1853910412629067,0.45758401179411534
AAA,2013J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,1,1894.0,122.0,76.0,3.193929173693086,34.0,1.0,3.2654772179868847,2.0,593.0,250.0,15.524590163934427,24.92105263157895,4.860655737704918,0.6229508196721312,7.576,50.0,4.0,10.0,20.0,0.0,0.0,0.0,0.0,0.026399155227032733,0.0,0.03278688524590164,0.0,1.022401262020181,0.4944617167619337
AAA,2013J,M,North Region,Post Graduate Qualification,?,55<=,0,60,N,1,3157.0,141.0,80.0,3.496124031007752,38.0,1.0,3.4946484957385597,2.0,903.0,260.0,22.390070921985817,39.4625,6.404255319148936,0.5673758865248227,12.142307692307693,128.0,10.0,4.0,35.0,17.0,3.0,2.0,9.0,0.04054482103262591,0.005384859043395629,0.07092198581560284,0.02127659574468085,0.9995779511092554,0.5001055344930441
AAA,2013J,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,1,1319.0,90.0,76.0,3.272952853598015,34.0,1.0,4.020462333907471,2.0,403.0,254.0,14.655555555555555,17.355263157894736,4.477777777777778,0.8444444444444444,5.192913385826771,52.0,2.0,17.0,19.0,0.0,0.0,0.0,0.0,0.039423805913570885,0.0,0.022222222222222223,0.0,1.2283899321946252,0.44875449559007474
